date,panipat pm 2.5,sirsa pm 2.5,Bhiwanipm 2.5,rohtak pm 2.5,patiala pm 2.5,ludhiana pm 2.5,kaithal pm 2.5,karnal pm 2.5,hisarpm25,jindpm25,delhi_wazirpm2.5
2019-12-07,185,150,211,205,162,143,151,172,203,216,324
2019-12-08,181,154,201,215,156,147,159,184,203,206,353
2019-12-09,183,164,188,196,171,171,167,184,208,205,298
2019-12-10,238,164,203,230,184,176,194,228,239,214,359
2019-12-11,279,170,254,291,189,196,199,277,244,255,441
2019-12-12,256,165,271,279,178,147,176,245,235,260,400
2019-12-13,137,102,160,160,91,84,98,135,161,151,185
2019-12-14,133,95,134,132,88,116,108,98,140,153,188
2019-12-15,143,102,165,155,99,78,99,135,156,161,191
2019-12-16,185,79,136,149,107,102,100,147,140,154,178
2019-12-17,166,97,164,148,143,119,129,169,162,155,192
2019-12-18,181,113,167,170,137,113,132,167,170,170,242
2019-12-19,200,120,202,203,157,152,154,198,200,185,413
2019-12-20,218,119,223,211,170,163,166,216,196,214,451
2019-12-21,196,122,182,196,176,128,165,198,173,186,341
2019-12-22,171,108,166,171,153,108,140,181,163,176,224
2019-12-23,214,108,183,179,148,146,152,163,180,180,237
2019-12-24,185,136,206,210,151,172,160,178,188,209,351
2019-12-25,186,153,179,190,161,113,157,186,189,182,233
2019-12-26,184,156,202,209,166,139,155,193,187,202,272
2019-12-27,211,162,219,198,170,151,169,222,222,200,340
2019-12-28,204,148,192,192,169,133,171,192,201,200,360
2019-12-29,235,140,208,214,154,148,153,184,197,207,397
2019-07-01,150,182,167,149,134,147,163,175,151,149,131
2019-07-02,142,135,173,164,121,134,142,169,156,139,152
2019-07-03,112,186,141,129,101,146,152,145,151,128,112
2019-07-04,72,188,103,75,76,96,94,93,98,82,100
2019-07-05,94,284,127,114,70,74,97,99,120,123,140
2019-07-06,94,111,121,124,76,102,120,116,115,109,102
2019-07-07,82,112,125,99,66,86,113,107,112,101,109
2019-07-08,110,169,143,117,86,112,135,121,126,118,135
2019-07-09,110,221,142,130,75,91,128,134,135,138,131
2019-07-10,106,174,180,165,60,114,126,94,184,149,151
2019-07-11,164,243,198,187,64,142,179,174,231,202,165
2019-07-12,131,295,209,203,75,132,161,144,305,240,164
2019-07-13,157,206,170,169,75,123,179,166,235,189,154
2019-07-14,110,166,189,176,47,119,123,120,214,160,157
2019-07-15,88,143,170,118,52,130,111,95,141,98,113
2019-07-16,87,105,123,103,38,86,120,94,119,97,99
2019-07-17,90,93,93,70,40,76,97,96,85,67,95
2019-07-18,109,138,119,260,56,118,104,135,108,64,115
2019-07-19,100,104,147,103,51,95,105,110,98,110,153
2019-07-20,99,139,140,111,53,108,129,106,122,120,137
2019-07-21,109,179,124,113,39,96,129,132,131,127,130
2019-07-22,125,139,144,131,48,95,142,119,142,109,157
2019-07-23,130,211,142,142,53,118,154,138,130,145,174
2019-07-24,114,156,157,120,76,89,144,106,110,106,142
2019-07-25,65,94,94,58,44,72,88,62,64,60,92
2019-07-26,62,101,101,97,39,75,111,60,83,111,108
2019-07-27,52,122,86,90,29,77,76,29,83,64,111
2019-07-28,53,100,91,84,20,68,72,35,86,65,92
2019-07-29,55,84,103,78,24,79,73,53,85,65,105
2019-07-30,65,122,118,103,26,98,89,80,101,75,115
2019-07-31,69,125,106,97,24,79,72,63,106,88,98
2019-08-01,83,124,114,97,47,103,105,88,116,107,105
2019-08-02,76,112,112,84,39,78,94,89,68,87,99
2019-08-03,65,140,128,100,37,90,87,78,102,99,138
2019-08-04,81,156,102,81,39,105,101,88,125,107,138
2019-08-05,100,134,125,109,56,118,124,121,129,133,155
2019-08-06,60,100,105,81,46,94,113,74,92,79,111
2019-08-07,76,140,95,97,36,87,86,91,111,81,113
2019-08-08,71,131,102,84,41,85,96,94,96,97,121
2019-08-09,58,121,77,57,26,104,96,82,87,70,79
2019-08-10,55,66,73,116,31,81,81,68,74,64,77
2019-08-11,73,81,98,89,37,74,90,83,95,95,104
2019-08-12,72,135,64,79,58,80,110,87,62,87,110
2019-08-13,68,82,89,82,35,104,80,92,75,78,90
2019-08-14,66,147,75,104,37,78,104,70,93,88,98
2019-08-15,73,145,93,111,54,66,93,74,87,109,89
2019-08-16,56,111,74,78,36,85,88,69,83,72,69
2019-08-17,42,92,55,63,26,77,112,47,74,61,57
2019-08-18,48,43,51,59,18,41,33,50,40,42,59
2019-08-19,78,117,107,94,32,59,75,64,82,88,118
2019-08-20,76,175,126,88,52,81,63,85,87,91,108
2019-08-21,84,102,128,111,62,97,62,111,97,127,122
2019-08-22,110,105,114,81,62,71,98,140,92,100,120
2019-08-23,123,115,123,113,64,88,107,148,96,130,143
2019-08-24,92,128,126,124,68,194,91,117,135,123,149
2019-08-25,86,159,129,109,53,82,82,98,136,120,104
2019-08-26,60,124,111,78,46,85,63,80,92,87,104
2019-08-27,95,122,126,99,60,63,69,118,103,94,128
2019-08-28,93,145,118,115,58,75,80,121,122,99,151
2019-08-29,95,159,111,96,62,83,86,123,119,115,123
2019-08-30,79,145,114,100,60,106,75,103,116,98,135
2019-08-31,137,158,134,133,68,93,94,100,132,149,155
2019-09-01,156,152,101,86,60,67,92,63,117,107,115
2019-09-02,84,131,107,98,52,56,69,86,115,104,148
2019-09-03,109,138,139,125,80,89,88,129,130,138,155
2019-09-04,126,129,131,141,58,99,99,136,149,155,168
2019-09-05,81,174,142,273,42,66,60,89,131,106,117
2019-09-06,86,100,132,440,66,70,73,78,125,92,134
2019-09-07,78,161,114,89,63,97,84,71,127,115,256
2019-09-08,80,157,114,68,56,119,81,68,123,106,95
2019-09-09,110,187,156,102,73,98,110,104,148,139,144
2019-09-10,137,180,157,98,71,121,130,152,159,151,153
2019-09-11,167,172,163,136,83,124,127,172,166,155,168
2019-09-12,157,172,159,127,78,136,135,169,168,151,162
2019-09-13,131,197,124,114,67,99,82,132,156,121,118
2019-09-14,126,178,129,92,90,120,80,116,135,132,100
2019-09-15,104,146,105,73,71,100,59,79,122,104,
2019-09-16,157,170,143,90,94,96,93,135,158,140,151
2019-09-17,163,154,149,100,120,111,93,154,149,144,154
2019-09-18,130,140,131,92,95,112,89,122,149,126,130
2019-09-19,75,131,98,66,63,82,60,78,114,100,106
2019-09-20,109,128,111,85,63,109,72,100,113,98,105
2019-09-21,153,134,116,92,78,99,85,134,127,118,
2019-09-22,102,128,94,70,75,113,75,85,113,88,134
2019-09-23,90,102,100,84,58,108,66,74,109,81,169
2019-09-24,136,111,102,80,77,133,83,123,108,95,145
2019-09-25,117,117,114,84,84,133,78,121,101,102,124
2019-09-26,81,103,90,77,82,113,71,91,101,79,115
2019-09-27,70,117,87,56,64,78,62,81,113,62,79
2019-09-28,88,93,93,69,59,91,50,70,100,68,105
2019-09-29,60,96,79,63,31,66,47,40,73,64,83
2019-09-30,71,97,95,80,49,77,65,71,108,79,149
2019-06-15,145,178,166,170,145,134,146,197,120,149,163
2019-06-16,148,218,146,137,102,98,104,167,126,122,114
2019-06-17,125,137,113,113,115,121,123,140,104,119,118
2019-06-18,79,111,113,97,81,109,104,156,105,96,83
2019-06-19,143,147,162,156,153,146,159,228,162,157,155
2019-06-20,124,153,152,133,133,140,143,165,128,123,106
2019-06-21,129,132,155,162,117,102,137,172,138,140,155
2019-06-22,123,174,149,134,131,104,143,164,147,148,156
2019-06-23,103,164,156,138,84,120,137,118,153,143,121
2019-06-24,69,155,116,82,62,81,86,70,107,81,82
2019-06-25,94,237,133,107,53,72,99,118,134,100,148
2019-06-26,122,112,145,128,63,99,143,166,140,142,151
2019-06-27,134,138,188,171,70,121,140,175,165,143,146
2019-06-28,130,132,170,155,93,123,146,178,143,147,141
2019-06-29,154,166,190,174,148,147,164,183,178,167,141
2019-06-30,146,162,172,167,121,144,148,188,165,153,140
