date, pm25, pm10, o3, no2, so2, co
2019/8/11, 74, 56, 8, 7, 3, 
2019/8/12, 80, 89, 7, 11, 3, 
2019/8/13, 104, 58, 9, 4, 4, 
2019/8/14, 78, 72, 7, 4, 2, 
2019/8/15, 66, 68, 7, 4, 2, 
2019/8/16, 85, 48, 7, 15, 2, 
2019/8/17, 77, 21, 8, 18, 2, 
2019/8/18, 41, 36, 8, 17, 1, 
2019/8/19, 59, 58, 11, 9, 2, 
2019/8/20, 81, 83, 14, 9, 3, 
2019/8/21, 97, 93, 8, 21, 2, 
2019/8/22, 71, 83, 11, 16, 2, 
2019/8/23, 88, 73, 11, 14, 2, 
2019/8/24, 194, 73, 9, 21, 3, 
2019/8/25, 82, 58, 11, 15, 3, 
2019/8/26, 85, 79, 11, 9, 3, 
2019/8/27, 63, 128, 10, 7, 1, 
2019/8/28, 75, 84, 11, 14, 3, 
2019/8/29, 83, 83, 10, 14, 5, 
2019/8/30, 106, 67, 11, 10, 4, 
2019/8/31, 93, 89, 8, 10, 4, 
2019/9/1, 67, 74, 12, 4, 4, 
2019/9/2, 56, 121, 12, 3, 3, 
2019/9/3, 89, 151, 12, 10, 3, 
2019/9/4, 99, 49, 11, 9, 1, 
2019/9/5, 66, 55, 9, 12, 2, 
2019/9/6, 70, 66, 10, 10, 1, 
2019/9/7, 97, 60, 10, 3, 1, 
2019/9/8, 119, 57, 13, 4, 1, 
2019/9/9, 98, 75, 12, 8, 3, 
2019/9/10, 121, 75, 11, 8, 3, 
2019/9/11, 124, 86, 11, 8, 3, 
2019/9/12, 136, 57, 9, 8, 3, 
2019/9/13, 99, 69, 9, 10, 3, 
2019/9/14, 120, 58, 9, 8, 3, 
2019/9/15, 100, 55, 12, 7, 3, 
2019/9/16, 96, 75, 16, 8, 3, 
2019/9/17, 111, 64, 9, 10, 3, 
2019/9/18, 112, 60, 9, 11, 4, 
2019/9/19, 82, 64, 17, 11, 6, 
2019/9/20, 109, 54, 22, 10, 5, 
2019/9/21, 99, 68, 14, 13, 4, 
2019/9/22, 113, 62, 25, 8, 4, 
2019/9/23, 108, 75, 18, 12, 6, 
2019/9/24, 133, 73, 17, 16, 3, 
2019/9/25, 133, 65, 6, 19, 5, 
2019/9/26, 113, 43, 19, 13, 2, 
2019/9/27, 78, 49, 12, 9, 2, 
2019/9/28, 91, 32, 10, 10, 2, 
2019/9/29, 66, 42, 8, 12, 3, 
2019/9/30, 77, 59, 11, 11, 6, 
2019/4/1, 108, 73, 23, 3, 8, 
2019/4/2, 131, 63, 23, 3, 5, 
2019/4/3, 128, 87, 29, 3, 6, 
2019/4/4, 160, 77, 26, 2, 5, 
2019/4/5, 151, 91, 27, 2, 5, 
2019/4/6, 163, 58, 23, 2, 7, 
2019/4/7, 119, 98, 18, 3, 7, 
2019/4/8, 159, 84, 30, 2, 8, 
2019/4/9, 155, 74, 23, 2, 6, 
2019/4/10, 131, 54, 22, 2, 6, 
2019/4/11, 112, 59, 18, 2, 6, 
2019/4/12, 119, 55, 14, 1, 7, 
2019/4/13, 112, 49, 17, 1, 5, 
2019/4/14, 108, 56, 20, 1, 6, 
2019/4/15, 101, 94, 14, 2, 6, 
2019/4/16, 103, 45, 10, 2, 5, 
2019/4/17, 97, 30, 19, 1, 5, 
2019/4/18, 73, 39, 21, 2, 5, 
2019/4/19, 87, 48, 23, 1, 5, 
2019/4/20, 103, 53, 25, 1, 5, 
2019/4/21, 113, 62, 25, 1, 6, 
2019/4/22, 121, 64, 23, 1, 6, 
2019/4/23, 124, 88, 22, 1, 8, 
