date, pm25, pm10, o3, no2, so2, co
2019/12/22, 108, 66, 9, 1, 6, 8
2019/12/23, 108, 80, 13, 1, 7, 7
2019/12/24, 136, 97, 13, 1, 7, 7
2019/12/25, 153, 106, 13, 1, 7, 8
2019/12/26, 156, 108, 13, 1, 8, 8
2019/12/27, 162, 98, 8, 1, 19, 8
2019/12/28, 148, 84, , 1, 12, 7
2019/12/29, 140, , , , , 
2019/7/1, 182, 115, 20, 2, 3, 2
2019/7/2, 135, 130, 27, 1, 4, 3
2019/7/3, 186, 134, 14, 2, 4, 2
2019/7/4, 188, 319, 21, 2, 3, 2
2019/7/5, 284, 113, 32, 3, 5, 1
2019/7/6, 111, 144, 37, 3, 7, 2
2019/7/7, 112, 134, 34, 3, 9, 2
2019/7/8, 169, 197, 24, 3, 10, 4
2019/7/9, 221, 257, 16, 2, 5, 2
2019/7/10, 174, 386, 2, 2, 3, 2
2019/7/11, 243, 481, 8, 1, 4, 1
2019/7/12, 295, 401, 13, 2, 5, 1
2019/7/13, 206, 287, 14, 2, 3, 1
2019/7/14, 166, 97, 12, 1, 3, 2
2019/7/15, 143, 43, 20, 1, 3, 1
2019/7/16, 105, 30, 24, 2, 3, 1
2019/7/17, 93, 63, 18, 4, 3, 2
2019/7/18, 138, 88, 17, 4, 3, 2
2019/7/19, 104, 84, 22, 4, 2, 3
2019/7/20, 139, 84, 33, 4, 3, 3
2019/7/21, 179, 79, 16, 3, 3, 3
2019/7/22, 139, 172, 37, 2, 4, 3
2019/7/23, 211, 113, 26, 2, 4, 2
2019/7/24, 156, 49, 15, 2, 4, 1
2019/7/25, 94, 49, 14, 2, 3, 2
2019/7/26, 101, 51, 17, 2, 4, 1
2019/7/27, 122, 40, 15, 2, 5, 7
2019/7/28, 100, 39, 19, 2, 5, 11
2019/7/29, 84, 54, 21, 2, 6, 3
2019/7/30, 122, 53, 21, 2, 7, 15
2019/7/31, 125, 70, 22, 2, 5, 12
2019/8/1, 124, 49, 27, 2, 4, 11
2019/8/2, 112, 49, 25, 3, 4, 4
2019/8/3, 140, 70, 28, 3, 5, 4
2019/8/4, 156, 70, 22, 3, 4, 3
2019/8/5, 134, 69, 17, 2, 4, 3
2019/8/6, 100, 57, 20, 2, 5, 11
2019/8/7, 140, 68, 17, 2, 4, 4
2019/8/8, 131, 67, 16, 2, 4, 2
2019/8/9, 121, 46, 14, 2, 4, 2
2019/8/10, 66, 61, 16, 2, 5, 2
2019/8/11, 81, 38, 13, 2, 6, 2
2019/8/12, 135, 61, 7, 2, 5, 2
2019/8/13, 82, 55, 11, 2, 3, 2
2019/8/14, 147, 53, 11, 2, 3, 3
2019/8/15, 145, 54, 12, 2, 3, 2
2019/8/16, 111, 33, 10, 2, 3, 2
2019/8/17, 92, 16, 12, 2, 3, 1
2019/8/18, 43, 51, 19, 2, 3, 3
2019/8/19, 117, 78, 16, 2, 3, 2
2019/8/20, 175, 87, 17, 2, 3, 10
2019/8/21, 102, 77, 26, 3, 7, 12
2019/8/22, 105, 72, 19, 5, 9, 13
2019/8/23, 115, 84, 22, 4, 6, 9
2019/8/24, 128, 73, 25, 3, 2, 6
2019/8/25, 159, 50, 15, 2, 2, 5
2019/8/26, 124, 58, 14, 1, 3, 4
2019/8/27, 122, 63, 15, 2, 12, 2
2019/8/28, 145, 79, 18, 3, 7, 3
2019/8/29, 159, 62, 11, 2, 1, 3
2019/8/30, 145, 75, 9, 2, 1, 3
2019/8/31, 158, 79, 7, 2, 1, 3
2019/9/1, 152, 62, 8, 2, 2, 3
