date,rohtak pm 2.5
2017/11/30,214
2017/12/1,206
2017/12/2,195
2017/12/3,189
2017/12/4,226
2017/12/5,244
2017/12/6,170
2017/12/7,167
2017/12/8,184
2017/12/9,186
2017/12/10,184
2017/12/11,239
2017/12/12,178
2017/12/13,173
2017/12/14,168
2017/12/15,172
2017/12/16,172
2017/12/17,169
2017/12/18,174
2017/12/19,182
2017/12/20,196
2017/12/21,222
2017/12/22,185
2017/12/23,167
2017/12/24,186
2017/12/25,226
2017/12/26,208
2017/12/27,210
2017/12/28,224
2017/12/29,185
2017/12/30,206
2017/12/31,189
2017/7/20,73
2017/7/21,132
2017/4/1,83
2017/4/2,73
2017/4/3,126
2017/4/4,152
2017/4/5,118
2017/4/6,67
2017/4/7,174
2017/4/8,182
2017/4/9,129
2017/4/10,125
2017/4/11,122
2017/4/12,158
2017/4/13,167
2017/4/14,151
2017/4/15,129
2017/4/16,155
2017/4/17,168
2017/4/18,156
2017/4/19,139
2017/4/20,146
2017/4/21,108
2017/4/22,172
2017/4/23,180
2017/4/24,174
2017/4/25,156
2017/4/26,160
2017/4/27,169
2017/4/28,164
2017/4/29,161
2017/4/30,164
2017/5/1,176
2017/5/2,180
2017/5/3,168
2017/5/4,178
2017/5/5,168
2017/5/6,167
2017/5/7,151
2017/5/8,137
2017/5/9,108
2017/5/10,140
2017/5/11,171
2017/5/16,57
2017/5/17,163
2017/5/18,170
2017/5/19,174
2017/5/20,172
2017/5/21,165
2017/5/22,187
2017/5/23,183
2017/5/24,170
2017/5/25,156
2017/5/26,129
2017/5/27,126
2017/5/28,132
2017/5/29,150
2017/5/30,125
2017/5/31,144
2017/6/1,164
2017/6/2,153
2017/6/3,117
2017/6/4,110
2017/6/5,114
2017/6/6,148
2017/6/7,185
2017/6/8,177
2017/6/9,144
2017/6/10,146
2017/6/11,134
2017/6/12,96
2017/6/13,116
2017/6/14,157
2017/6/15,173
2017/6/23,155
2017/6/26,65
2017/1/2,199
2017/1/3,205
2017/1/4,183
2017/1/5,173
2017/1/6,140
2017/1/7,147
2017/1/8,177
2017/1/9,185
2017/1/10,180
2017/1/11,173
2017/1/12,170
2017/1/13,174
2017/1/14,183
2017/1/15,177
2017/1/16,169
2017/1/17,182
2017/1/18,207
2017/1/19,221
2017/1/20,192
2017/1/21,188
2017/1/22,168
2017/1/23,160
2017/1/24,136
2017/1/25,123
2017/1/26,125
2017/1/27,123
2017/1/28,160
2017/1/29,122
2017/1/30,106
2017/1/31,72
2017/2/1,106
2017/2/2,162
2017/2/7,139
2017/2/8,182
2017/2/11,182
2017/2/12,199
2017/2/14,221
2017/2/15,191
2017/2/16,142
2017/2/17,187
2017/2/18,191
2017/2/21,159
2017/2/22,175
2017/2/23,175
2017/2/24,186
2017/2/25,83
2017/2/26,74
2017/2/27,153
2017/2/28,149
2017/3/1,124
2017/3/2,121
2017/3/3,95
2017/3/4,73
2017/3/5,135
2017/3/6,121
2017/3/7,82
2017/3/8,89
2017/3/9,115
2017/3/10,101
2017/3/11,128
2017/3/12,128
2017/3/13,110
2017/3/14,133
2017/3/15,102
2017/3/16,47
2017/3/17,103
2017/3/18,131
2017/3/19,137
2017/3/20,159
2017/3/21,154
2017/3/22,130
2017/3/23,94
2017/3/24,112
2017/3/25,123
2017/3/26,135
2017/3/27,106
2017/3/28,94
2017/3/29,64
2017/3/30,90
2017/3/31,102
2016/11/26,157
2016/11/27,161
2016/11/28,158
2016/11/29,174
2016/11/30,184
2016/12/1,186
2016/12/2,195
2016/12/3,205
2016/12/4,217
2016/12/5,195
2016/12/6,195
2016/12/7,185
2016/12/8,190
2016/12/10,154
2016/12/11,166
2016/12/13,171
2016/12/14,188
2016/12/15,187
2016/12/16,201
2016/12/17,197
2016/12/18,197
2016/12/19,199
2016/12/20,182
2016/12/21,178
2016/12/22,181
2016/12/23,173
2016/12/24,129
2016/12/25,164
2016/12/26,190
2016/12/27,192
2016/12/28,184
2016/12/29,186
2016/12/30,192
2016/12/31,185
2017/1/1,186
2016/9/15,161
2016/1/16,169
2016/1/17,177
2016/1/18,173
2016/1/19,168
2016/1/20,184
2016/1/21,189
2016/1/22,168
2016/1/23,156
2016/1/24,152
2016/1/25,144
2016/1/26,132
2016/1/27,127
