date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,,date,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,,date,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2017-10-18,200,,34,14,7,18,,2017/10/18,259,325,78,49,22,37,,2017-10-18,,,,,,
2017-10-19,244,,23,11,6,14,,2017/10/19,308,522,58,50,36,36,,2017-10-19,,,,,,
2017-10-20,278,,10,10,6,21,,2017/10/20,465,365,58,49,24,32,,2017-10-20,,,,,,
2017-10-21,387,,19,9,9,12,,2017/10/21,321,251,45,51,16,30,,2017-10-21,,,,,,
2017-10-22,242,,22,9,13,18,,2017/10/22,251,260,50,59,21,38,,2017-10-22,,,,,,
2017-10-23,260,,21,10,9,16,,2017/10/23,248,305,43,53,21,33,,2017-10-23,,,,,,
2017-10-24,254,,22,16,5,26,,2017/10/24,263,312,55,61,23,32,,2017-10-24,,,,,,
2017-10-25,258,,24,14,10,23,,2017/10/25,288,250,51,55,19,30,,2017-10-25,,,,,,
2017-10-26,302,,19,12,6,15,,2017/10/26,256,267,44,50,18,32,,2017-10-26,,,,,,
2017-10-27,233,,24,10,8,12,,2017/10/27,260,300,46,53,16,41,,2017-10-27,,,,,,
2017-10-28,258,,19,6,5,13,,2017/10/28,272,284,39,57,15,34,,2017-10-28,,,,,,
2017-10-29,274,,24,17,8,19,,2017/10/29,269,259,38,58,16,21,,2017-10-29,,,,,,
2017-10-30,282,,16,15,11,19,,2017/10/30,280,303,23,50,15,21,,2017-10-30,,,,,,
2017-10-31,304,,20,9,7,13,,2017/10/31,284,263,34,54,14,25,,2017-10-31,,,,,,
2017-11-01,226,,15,7,5,15,,2017/11/1,267,206,30,55,16,26,,2017-11-01,,,,,,
2017-11-02,209,,20,6,7,17,,2017/11/2,232,229,34,51,19,38,,2017-11-02,,,,,,
2017-11-03,230,,21,6,8,17,,2017/11/3,250,276,38,39,18,42,,2017-11-03,,,,,,
2017-11-04,216,,15,5,7,25,,2017/11/4,290,296,56,54,17,43,,2017-11-04,,,,,,
2017-11-05,222,,20,7,6,18,,2017/11/5,280,272,29,49,17,37,,2017-11-05,,,,,,
2017-11-06,200,,23,13,7,27,,2017/11/6,254,638,33,58,16,55,,2017-11-06,,,,,,
2017-11-07,345,,22,15,8,17,,2017/11/7,475,825,30,78,19,72,,2017-11-07,,,,,,
2017-11-08,413,,24,16,9,23,,2017/11/8,617,701,46,69,14,67,,2017-11-08,,,,,,
2017-11-09,377,,22,15,10,38,,2017/11/9,544,516,32,79,13,57,,2017-11-09,,,,,,
2017-11-10,318,,28,13,8,38,,2017/11/10,395,521,26,88,15,59,,2017-11-10,,,,,,
2017-11-11,287,,29,19,9,32,,2017/11/11,410,665,39,90,6,61,,2017-11-11,,,,,,
2017-11-12,380,,19,15,6,35,,2017/11/12,474,515,30,67,16,56,,2017-11-12,,,,,,
2017-11-13,299,,17,19,2,52,,2017/11/13,402,352,21,53,13,40,,2017-11-13,,,,,,
2017-11-14,255,,82,13,6,32,,2017/11/14,336,261,18,46,11,17,,2017-11-14,,,,,,
2017-11-15,208,,18,11,11,10,,2017/11/15,273,230,20,48,22,19,,2017-11-15,,,,,,
2017-11-16,216,,14,11,9,13,,2017/11/16,265,163,17,41,18,14,,2017-11-16,,,,,,
2017-11-17,197,,12,13,6,14,,2017/11/17,214,147,18,48,17,14,,2017-11-17,,,,,,
2017-11-18,200,,17,12,4,8,,2017/11/18,205,151,33,36,15,5,,2017-11-18,,,,,,
2017-11-19,188,,23,14,6,7,,2017/11/19,201,214,34,44,16,5,,2017-11-19,,,,,,
2017-11-20,187,,20,14,5,20,,2017/11/20,249,229,34,40,13,11,,2017-11-20,,,,,,
2017-11-21,187,,17,21,2,17,,2017/11/21,260,224,36,44,19,1,,2017-11-21,,,,,,
2017-11-22,173,,20,18,5,14,,2017/11/22,251,240,39,48,22,9,,2017-11-22,,,,,,
2017-11-23,189,,22,17,5,10,,2017/11/23,270,227,40,51,23,7,,2017-11-23,,,,,,
2017-11-24,186,,15,22,4,13,,2017/11/24,259,285,47,52,25,14,,2017-11-24,,,,,,
2017-11-25,208,,22,23,5,17,,2017/11/25,283,351,43,55,19,38,,2017-11-25,,,,,,
2017-11-26,219,,21,22,5,13,,2017/11/26,310,338,41,51,22,28,,2017-11-26,,,,,,
2017-11-27,199,,19,17,7,23,,2017/11/27,318,319,32,52,25,24,,2017-11-27,,,,,,
2017-11-28,221,,17,17,8,30,,2017/11/28,284,336,16,67,21,23,,2017-11-28,,,,,,
2017-11-29,292,,5,22,7,23,,2017/11/29,305,364,25,58,14,57,,2017-11-29,,,,,,
2017-11-30,229,,18,18,8,17,,2017/11/30,320,315,27,59,18,42,,2017-11-30,,,,,,
2018-09-01,,,,,,,,2018/9/1,128,66,27,6,8,10,,2018/9/1,68,42,7,5,3,6
2018-09-02,,,,,,,,2018/9/2,115,64,52,7,11,11,,2018/9/2,60,42,14,5,4,6
2018-09-03,,,,,,,,2018/9/3,128,67,11,6,11,10,,2018/9/3,66,36,19,6,3,5
2018-09-04,,,,,,,,2018/9/4,144,72,14,5,9,8,,2018/9/4,65,45,9,6,2,6
2018-09-05,,,,,,,,2018/9/5,117,89,22,5,8,7,,2018/9/5,77,47,27,5,3,6
2018-09-06,,,,,,,,2018/9/6,120,65,22,8,8,11,,2018/9/6,67,35,11,5,3,6
2018-09-07,,,,,,,,2018/9/7,123,64,13,5,8,7,,2018/9/7,57,16,20,6,4,6
2018-09-08,,,,,,,,2018/9/8,122,42,11,3,12,5,,2018/9/8,32,39,15,5,4,6
2018-09-09,,,,,,,,2018/9/9,94,55,19,3,15,6,,2018/9/9,61,26,18,5,3,6
2018-09-10,,,,,,,,2018/9/10,105,64,17,4,11,6,,2018/9/10,57,23,25,9,3,5
2018-09-11,,,,,,,,2018/9/11,95,90,12,4,8,6,,2018/9/11,62,34,23,12,4,6
2018-09-12,,,,,,,,2018/9/12,93,103,13,3,8,5,,2018/9/12,60,50,10,12,10,6
2018-09-13,,,,,,,,2018/9/13,99,88,17,4,12,7,,2018/9/13,56,48,17,10,4,6
2018-09-14,,,,,,,,2018/9/14,103,89,19,6,15,10,,2018/9/14,61,35,8,10,1,9
2018-09-15,,,,,,,,2018/9/15,118,92,15,9,12,5,,2018/9/15,48,26, ,11,1,8
2018-09-16,,,,,,,,2018/9/16,121,115,28,3,8,6,,2018/9/16,54,32,11,10,2,8
2018-09-17,,,,,,,,2018/9/17,143,129,33,5,8,7,,2018/9/17,71,56,18,14,17,8
2018-09-18,,,,,,,,2018/9/18,144,130,38,8,9,8,,2018/9/18,108,65,20,1,2,4
2018-09-19,,,,,,,,2018/9/19,149,136,56,20,16,12,,2018/9/19,133,79,21, ,2,7
2018-09-20,,,,,,,,2018/9/20,163,77,17,13,9,6,,2018/9/20,148,76,3, ,2,7
2018-09-21,,,,,,,,2018/9/21,118,44,12,13,11,6,,2018/9/21,138,47,1, ,6,4
2018-09-22,,,,,,,,2018/9/22,80,51,14,10,10,6,,2018/9/22,97, , , ,2,5
2018-09-23,,,,,,,,2018/9/23,100,33,9,35,10,6,,2018/9/23,,,,,,
2018-09-24,,,,,,,,2018/9/24,74,42,14,18,8,7,,2018/9/24,65,34,6,9,2,5
2018-09-25,,,,,,,,2018/9/25,87,78,29,24,12,6,,2018/9/25,49,46,6,9,1,5
2018-09-26,,,,,,,,2018/9/26,116,119,37,26,15,17,,2018/9/26,102,60,7,9,3,6
2018-09-27,,,,,,,,2018/9/27,162,128,32,28,12,24,,2018/9/27,130,70,7,9,11,8
2018-09-28,,,,,,,,2018/9/28,164,136,32,34,7,19,,2018/9/28,136,21,2,9,16,6
2018-09-29,,,,,,,,2018/9/29,157,103,40,29,15,12,,2018/9/29,57,23,3,9,30,12
2018-09-30,,,,,,,,2018/9/30,150,136,41,35,16,17,,2018/9/30,57,32,3,9,19,8
2018-10-01,,,,,,,,2018/10/1,166,122,34,31,7,12,,2018/10/1,73,32,3,9,17,9
2018-10-02,,,,,,,,2018/10/2,160,101,19,40,13,17,,2018/10/2,73,32,3,9,78,10
2018-10-03,,,,,,,,2018/10/3,140,140,2,41,8,14,,2018/10/3,74,38,3,9,21,8
2018-10-04,,,,,,,,2018/10/4,172,169,49,53,9,18,,2018/10/4,82,45,5,9,11,10
2018-10-05,,,,,,,,2018/10/5,193,157,37,37,10,15,,2018/10/5,94,68,9,9,4,8
2018-10-06,,,,,,,,2018/10/6,170,162,47,40,9,15,,2018/10/6,129,80,6,14,3,9
2018-10-07,,,,,,,,2018/10/7,173,232,98,47,12,21,,2018/10/7,152,91,14,10,4,10
2018-10-08,,,,,,,,2018/10/8,203,200,57,36,11,19,,2018/10/8,152,96,10,8,5,7
2018-10-09,,,,,,,,2018/10/9,193,135,33,36,9,13,,2018/10/9,146,85,10,5,6,14
2018-10-10,,,,,,,,2018/10/10,172,135,30,27,9,10,,2018/10/10,161,64,8,5,5,7
2018-10-11,,,,,,,,2018/10/11,142,132,47,37,11,14,,2018/10/11,129,60,12,5,5,6
