date,ludhiana pm 2.5
2018/1/25,107
2018/1/26,121
2018/1/27,151
2018/1/28,110
2018/1/29,105
2018/1/30,126
2018/1/31,145
2018/2/1,125
2018/2/2,94
2018/2/3,130
2018/2/4,89
2018/2/5,124
2018/2/6,120
2018/2/7,125
2018/2/8,131
2018/2/9,131
2018/2/10,140
2018/2/11,138
2018/2/12,101
2018/2/13,64
2018/2/14,57
2018/2/15,91
2018/2/16,115
2018/2/17,120
2018/2/18,121
2018/2/19,115
2018/2/20,137
2018/2/21,136
2018/2/22,136
2018/2/23,121
2018/2/24,83
2018/2/25,72
2018/2/26,84
2018/2/27,100
2018/2/28,119
2018/3/1,103
2018/3/2,78
2018/3/3,75
2018/3/4,58
2018/3/5,73
2018/3/6,82
2018/3/7,97
2018/3/8,121
2018/3/9,74
2018/3/10,93
2018/3/11,105
2018/3/12,111
2018/3/13,128
2018/3/14,143
2018/3/15,133
2018/3/16,100
2018/3/17,92
2018/3/18,100
2018/3/19,105
2018/3/20,135
2018/3/21,113
2018/3/22,72
2018/3/23,123
2018/3/24,125
2018/3/25,151
2018/3/26,160
2018/3/27,157
2018/3/28,168
2018/3/29,142
2018/3/30,167
2018/3/31,194
2017/12/21,187
2017/12/22,144
2017/12/23,138
2017/12/24,191
2017/12/25,171
2017/12/26,172
2017/12/27,181
2017/12/28,174
2017/12/29,156
2017/12/30,186
2017/12/31,187
2019/12/31, 
2019/6/9, 
2018/12/31, 
2018/12/5, 
2018/12/14, 
2018/7/22, 
2018/7/29, 
2018/9/23, 
2017/12/20, 
