date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,D_pm10,D_o3,D_no2,D_so2,D_co,D_pm25,,,,,,,,
2016-10-04,184,42,5,8,6,16,95,5,43,9,10,189,,,,,,,,
2016-10-05,181,42,19,4,5,28,130,23,48,9,18,149,,,,,,,,
2016-09-06,441,42,15,5,2,29,136,23,32,9,17,176,,,,,,,,
2016-10-07,441,42,15,5,2,29,141,21,45,9,28,180,,,,,,,,
2016-10-08,273,42,19,4,5,28,180,40,62,9,18,183,,,,,,,,
2016-10-09,189,42,19,3,4,17,146,57,42,9,6,201,,,,,,,,
2016-10-10,268,42,8,1,4,6,179,84,39,8,18,181,,,,,,,,
2016-10-11,186,42,8,1,5,5,156,56,35,10,22,192,,,,,,,,
2016-10-12,186,42,6,5,1,14,157,41,36,9,33,182,,,,,,,,
2016-10-13,197,42,4,3,3,9,136,46,37,11,24,166,,,,,,,,
2016-10-14,178,42,10,4,4,9,203,98,47,10,30,161,,,,,,,,
2016-10-15,203,42,4,4,2,9,169,85,37,13,22,202,,,,,,,,
2016-10-16,187,42,6,4,1,11,218,73,42,17,32,194,,,,,,,,
2016-10-17,207,42,50,5,2,30,234,76,45,15,28,205,,,,,,,,
2016-10-18,198,42,5,7,6,27,227,67,40,17,30,212,,,,,,,,
2016-10-19,210,42,9,9,2,13,225,40,36,13,28,202,,,,,,,,
2016-10-20,204,42,13,10,5,13,217,43,32,14,23,188,,,,,,,,
2016-10-21,206,42,11,9,2,13,237,39,31,14,25,185,,,,,,,,
2016-10-22,186,42,1,11,2,13,197,85,37,10,19,192,,,,,,,,
2016-10-23,232,42,4,11,2,21,235,57,37,15,27,210,,,,,,,,
2016-10-24,278,42,13,9,4,18,210,38,32,15,14,208,,,,,,,,
2016-10-25,179,42,16,11,7,18,269,59,45,18,16,188,,,,,,,,
2016-10-26,225,42,24,13,6,24,434,87,52,15,37,233,,,,,,,,
2016-10-27,328,42,23,14,6,31,446,76,46,14,40,323,,,,,,,,
2016-10-28,311,42,22,15,8,18,398,52,71,20,36,317,,,,,,,,
2016-10-29,311,42,20,11,5,18,386,48,47,19,16,326,,,,,,,,
2016-10-30,305,42,22,13,13,26,622,41,55,32,30,311,,,,,,,,
2016-10-31,339,42,26,14,6,29,508,40,55,18,31,447,,,,,,,,
2016-11-01,369,42,68,18,5,33,710,25,70,17,38,386,,,,,,,,
2016-11-02,371,42,21,15,9,20,535,51,66,18,44,495,,,,,,,,
2016-11-03,358,42,17,13,7,15,421,42,59,16,38,477,,,,,,,,
2016-11-04,373,42,16,15,6,26,813,23,61,18,44,331,,,,,,,,
2016-11-05,420,42,15,17,5,23,792,29,63,19,53,557,,,,,,,,
2016-11-06,409,42,1,18,6,13,578,39,45,20,37,618,,,,,,,,
2016-11-07,420,42,18,14,4,13,410,28,44,18,11,432,,,,,,,,
2016-11-08,330,42,21,16,5,13,343,43,49,21,20,347,,,,,,,,
2016-11-09,362,42,20,24,10,13,415,51,61,24,27,317,,,,,,,,
2016-11-10,380,42,21,22,8,19,442,56,58,25,43,314,,,,,,,,
2016-11-11,355,42,22,19,8,21,370,52,49,17,32,333,,,,,,,,
2016-11-12,349,42,19,18,8,16,260,47,48,22,30,310,,,,,,,,
2016-11-13,277,42,20,17,7,19,272,20,63,17,11,250,,,,,,,,
2016-11-14,262,42,16,18,8,21,279,33,63,18,12,267,,,,,,,,
2016-11-15,292,42,21,19,6,18,330,42,58,17,25,268,,,,,,,,
2016-11-16,312,42,22,16,5,12,294,39,53,18,11,281,,,,,,,,
2016-11-17,273,42,22,15,5,12,308,37,56,21,11,264,,,,,,,,
2016-11-18,259,42,25,19,4,19,370,45,63,24,32,273,,,,,,,,
2016-11-19,314,42,24,19,4,24,332,48,56,24,30,297,,,,,,,,
2016-11-20,314,42,25,17,8,26,348,44,52,22,39,283,,,,,,,,
2016-11-21,346,42,18,13,6,15,221,30,51,21,37,276,,,,,,,,
2016-11-22,204,42,78,14,4,10,254,35,49,19,18,205,,,,,,,,
2016-11-23,196,42,17,21,6,14,315,36,57,21,36,238,,,,,,,,
2016-11-24,246,42,11,12,4,10,279,34,34,17,10,256,,,,,,,,
2016-11-25,181,42,17,12,5,7,183,38,35,19,8,217,,,,,,,,
2016-11-26,165,42,16,14,2,10,150,37,35,17,8,187,,,,,,,,
2016-11-27,171,42,84,14,5,10,206,36,40,24,8,199,,,,,,,,
2016-11-28,168,42,25,31,12,22,355,47,65,22,26,215,,,,,,,,
2016-11-29,274,42,9,17,4,22,273,7,44,18,33,229,,,,,,,,
2016-11-30,303,42,5,17,7,28,287,12,30,16,31,236,,,,,,,,
2017-09-01,71,42,12,3,4,6,41,33,14,8,2,77,,,,,,,,
2017-09-02,107,42,8,2,6,8,53,33,14,8,2,82,,,,,,,,
2017-09-03,103,42,11,3,6,9,69,26,14,8,2,100,,,,,,,,
2017-09-04,124,42,5,2,1,8,55,34,14,8,6,120,,,,,,,,
2017-09-05,103,42,4,6,1,14,48,4,21,7,5,98,,,,,,,,
2017-09-06,72,42,18,5,1,10,91,56,21,9,14,83,,,,,,,,
2017-09-07,72,42,18,5,1,10,91,56,21,9,14,154,,,,,,,,
2017-09-08,72,42,18,5,1,10,91,56,21,9,14,154,,,,,,,,
2017-09-09,72,42,18,5,1,10,91,56,21,9,14,154,,,,,,,,
2017-09-10,72,42,20,6,2,11,103,63,26,9,12,154,,,,,,,,
2017-09-11,149,42,4,6,1,14,85,51,22,10,10,164,,,,,,,,
2017-09-12,156,42,17,9,1,9,98,63,25,10,13,148,,,,,,,,
2017-09-13,72,42,17,8,11,6,117,87,31,10,16,161,,,,,,,,
2017-09-14,166,42,17,9,1,9,105,59,26,11,12,203,,,,,,,,
2017-09-15,72,42,15,10,4,11,109,37,32,12,12,174,,,,,,,,
2017-09-16,157,42,15,6,2,8,86,52,20,10,8,175,,,,,,,,
2017-09-17,135,42,20,7,2,8,96,67,26,10,6,161,,,,,,,,
2017-09-18,137,42,18,7,6,9,112,67,37,18,15,164,,,,,,,,
2017-09-19,156,42,22,7,6,10,129,60,34,16,23,181,,,,,,,,
2017-09-20,159,42,8,5,6,9,82,17,21,11,13,196,,,,,,,,
2017-09-21,127,42,3,3,3,6,33,7,16,11,8,152,,,,,,,,
2017-09-22,83,42,3,3,3,3,30,5,14,9,6,87,,,,,,,,
2017-09-23,102,42,9,5,3,6,66,20,16,8,9,79,,,,,,,,
2017-09-24,111,42,17,5,3,8,101,28,25,9,19,134,,,,,,,,
2017-09-25,154,42,14,6,3,10,124,26,27,9,23,163,,,,,,,,
2017-09-26,167,42,18,6,3,12,132,43,33,11,25,180,,,,,,,,
2017-09-27,178,42,20,6,6,13,123,37,36,9,12,185,,,,,,,,
2017-09-28,190,42,20,7,3,13,133,35,35,13,20,177,,,,,,,,
2017-09-29,181,42,16,7,2,16,144,38,28,15,25,186,,,,,,,,
2017-09-30,173,42,9,6,3,4,142,29,28,14,22,190,,,,,,,,
2017-10-01,441,42,12,7,2,8,115,26,26,11,15,187,,,,,,,,
2017-10-02,145,42,21,7,3,8,127,36,35,15,15,166,,,,,,,,
2017-10-03,163,42,21,9,4,12,137,36,39,13,20,175,,,,,,,,
2017-10-04,172,42,16,8,7,12,126,31,40,13,15,184,,,,,,,,
2017-10-05,176,42,21,9,10,10,116,32,42,16,13,179,,,,,,,,
2017-10-06,183,42,21,12,3,10,141,40,43,14,20,170,,,,,,,,
2017-10-07,166,42,28,8,9,11,168,47,39,14,28,190,,,,,,,,
2017-10-08,441,42,13,9,2,11,193,28,44,25,31,217,,,,,,,,
2017-10-09,155,42,28,8,9,11,189,84,39,21,5,224,,,,,,,,
2017-10-10,169,42,14,7,6,12,167,72,36,18,14,212,,,,,,,,
2017-10-11,168,42,25,9,8,15,176,59,43,14,28,193,,,,,,,,
2017-10-12,186,42,24,10,6,11,200,58,46,30,26,208,,,,,,,,
2017-10-13,180,42,26,11,5,15,225,66,45,24,33,219,,,,,,,,
2017-10-14,183,42,3,17,18,18,256,75,44,18,34,222,,,,,,,,
2017-10-15,441,42,35,16,15,17,279,76,57,24,38,247,,,,,,,,
2017-10-16,212,42,29,14,9,13,256,58,48,20,28,253,,,,,,,,
2017-10-17,185,42,27,13,9,14,276,57,49,25,34,239,,,,,,,,
2017-10-18,200,42,34,14,7,18,325,78,49,22,37,259,,,,,,,,
2017-10-19,244,42,23,11,6,14,522,58,50,36,36,308,,,,,,,,
2017-10-20,278,42,10,10,6,21,365,58,49,24,32,465,,,,,,,,
2017-10-21,387,42,19,9,9,12,251,45,51,16,30,321,,,,,,,,
2017-10-22,242,42,22,9,13,18,260,50,59,21,38,251,,,,,,,,
2017-10-23,260,42,21,10,9,16,305,43,53,21,33,248,,,,,,,,
2017-10-24,254,42,22,16,5,26,312,55,61,23,32,263,,,,,,,,
2017-10-25,258,42,24,14,10,23,250,51,55,19,30,288,,,,,,,,
2017-10-26,302,42,19,12,6,15,267,44,50,18,32,256,,,,,,,,
2017-10-27,233,42,24,10,8,12,300,46,53,16,41,260,,,,,,,,
2017-10-28,258,42,19,6,5,13,284,39,57,15,34,272,,,,,,,,
2017-10-29,274,42,24,17,8,19,259,38,58,16,21,269,,,,,,,,
2017-10-30,282,42,16,15,11,19,303,23,50,15,21,280,,,,,,,,
2017-10-31,304,42,20,9,7,13,263,34,54,14,25,284,,,,,,,,
2017-11-01,226,42,15,7,5,15,206,30,55,16,26,267,,,,,,,,
2017-11-02,209,42,20,6,7,17,229,34,51,19,38,232,,,,,,,,
2017-11-03,230,42,21,6,8,17,276,38,39,18,42,250,,,,,,,,
2017-11-04,216,42,15,5,7,25,296,56,54,17,43,290,,,,,,,,
2017-11-05,222,42,20,7,6,18,272,29,49,17,37,280,,,,,,,,
2017-11-06,200,42,23,13,7,27,638,33,58,16,55,254,,,,,,,,
2017-11-07,345,42,22,15,8,17,825,30,78,19,72,475,,,,,,,,
2017-11-08,413,42,24,16,9,23,701,46,69,14,67,617,,,,,,,,
2017-11-09,377,42,22,15,10,38,516,32,79,13,57,544,,,,,,,,
2017-11-10,318,42,28,13,8,38,521,26,88,15,59,395,,,,,,,,
2017-11-11,287,42,29,19,9,32,665,39,90,6,61,410,,,,,,,,
2017-11-12,380,42,19,15,6,35,515,30,67,16,56,474,,,,,,,,
2017-11-13,299,42,17,19,2,52,352,21,53,13,40,402,,,,,,,,
2017-11-14,255,42,82,13,6,32,261,18,46,11,17,336,,,,,,,,
2017-11-15,208,42,18,11,11,10,230,20,48,22,19,273,,,,,,,,
2017-11-16,216,42,14,11,9,13,163,17,41,18,14,265,,,,,,,,
2017-11-17,197,42,12,13,6,14,147,18,48,17,14,214,,,,,,,,
2017-11-18,200,42,17,12,4,8,151,33,36,15,5,205,,,,,,,,
2017-11-19,188,42,23,14,6,7,214,34,44,16,5,201,,,,,,,,
2017-11-20,187,42,20,14,5,20,229,34,40,13,11,249,,,,,,,,
2017-11-21,187,42,17,21,2,17,224,36,44,19,1,260,,,,,,,,
2017-11-22,173,42,20,18,5,14,240,39,48,22,9,251,,,,,,,,
2017-11-23,189,42,22,17,5,10,227,40,51,23,7,270,,,,,,,,
2017-11-24,186,42,15,22,4,13,285,47,52,25,14,259,,,,,,,,
2017-11-25,208,42,22,23,5,17,351,43,55,19,38,283,,,,,,,,
2017-11-26,219,42,21,22,5,13,338,41,51,22,28,310,,,,,,,,
2017-11-27,199,42,19,17,7,23,319,32,52,25,24,318,,,,,,,,
2017-11-28,221,42,17,17,8,30,336,16,67,21,23,284,,,,,,,,
2017-11-29,292,42,5,22,7,23,364,25,58,14,57,305,,,,,,,,
2017-11-30,229,42,18,18,8,17,315,27,59,18,42,320,,,,,,,,
2018-09-01,68,42,7,5,3,6,66,27,6,8,10,128,,,,,,,,
2018-09-02,60,42,14,5,4,6,64,52,7,11,11,115,,,,,,,,
2018-09-03,66,36,19,6,3,5,67,11,6,11,10,128,,,,,,,,
2018-09-04,65,45,9,6,2,6,72,14,5,9,8,144,,,,,,,,
2018-09-05,77,47,27,5,3,6,89,22,5,8,7,117,,,,,,,,
2018-09-06,67,35,11,5,3,6,65,22,8,8,11,120,,,,,,,,
2018-09-07,57,16,20,6,4,6,64,13,5,8,7,123,,,,,,,,
2018-09-08,32,39,15,5,4,6,42,11,3,12,5,122,,,,,,,,
2018-09-09,61,26,18,5,3,6,55,19,3,15,6,94,,,,,,,,
2018-09-10,57,23,25,9,3,5,64,17,4,11,6,105,,,,,,,,
2018-09-11,62,34,23,12,4,6,90,12,4,8,6,95,,,,,,,,
2018-09-12,60,50,10,12,10,6,103,13,3,8,5,93,,,,,,,,
2018-09-13,56,48,17,10,4,6,88,17,4,12,7,99,,,,,,,,
2018-09-14,61,35,8,10,1,9,89,19,6,15,10,103,,,,,,,,
2018-09-15,48,26,,,11,1,118,92,15,9,12,8,,,,,,8,,
2018-09-16,54,32,11,10,2,8,115,28,3,8,6,121,,,,,,,,
2018-09-17,71,56,18,14,17,8,129,33,5,8,7,143,,,,,,,,
2018-09-18,108,65,20,1,2,4,130,38,8,9,8,144,,,,,,,,
2018-09-19,133,79,21,,,2,149,136,56,20,16,7,,,,,,7,,
2018-09-20,148,76,3,,,2,163,77,17,13,9,7,,,,,,7,,
2018-09-21,138,47,1,,,6,118,44,12,13,11,4,,,,,,4,,
2018-09-22,97,,,,,,2,5,80,51,14,,,,,,,9,2,5
2018-09-23,65,34,6,9,2,5,33,9,35,10,6,100,,,,,,,,
2018-09-24,65,34,6,9,2,5,42,14,18,8,7,74,,,,,,,,
2018-09-25,49,46,6,9,1,5,78,29,24,12,6,87,,,,,,,,
2018-09-26,102,60,7,9,3,6,119,37,26,15,17,116,,,,,,,,
2018-09-27,130,70,7,9,11,8,128,32,28,12,24,162,,,,,,,,
2018-09-28,136,21,2,9,16,6,136,32,34,7,19,164,,,,,,,,
2018-09-29,57,23,3,9,30,12,103,40,29,15,12,157,,,,,,,,
2018-09-30,57,32,3,9,19,8,136,41,35,16,17,150,,,,,,,,
2018-10-01,73,32,3,9,17,9,122,34,31,7,12,166,,,,,,,,
2018-10-02,73,32,3,9,78,10,101,19,40,13,17,160,,,,,,,,
2018-10-03,74,38,3,9,21,8,140,2,41,8,14,140,,,,,,,,
2018-10-04,82,45,5,9,11,10,169,49,53,9,18,172,,,,,,,,
2018-10-05,94,68,9,9,4,8,157,37,37,10,15,193,,,,,,,,
2018-10-06,129,80,6,14,3,9,162,47,40,9,15,170,,,,,,,,
2018-10-07,152,91,14,10,4,10,232,98,47,12,21,173,,,,,,,,
2018-10-08,152,96,10,8,5,7,200,57,36,11,19,203,,,,,,,,
2018-10-09,146,85,10,5,6,14,135,33,36,9,13,193,,,,,,,,
2018-10-10,161,64,8,5,5,7,135,30,27,9,10,172,,,,,,,,
2018-10-11,129,60,12,5,5,6,132,47,37,11,14,142,,,,,,,,
2018-10-12,131,52,3,5,4,5,253,48,31,10,14,160,,,,,,,,
2018-10-13,124,65,,,5,4,195,266,43,28,10,7,,,,,,7,,
2018-10-14,149,66,,,5,4,172,266,52,36,11,6,,,,,,6,,
2018-10-15,140,79,,,5,6,197,210,53,34,9,10,,,,,,10,,
2018-10-16,157,78,,,5,9,201,232,51,28,9,10,,,,,,10,,
2018-10-17,156,92,4,5,7,10,191,31,27,9,24,206,,,,,,,,
2018-10-18,169,63,14,5,3,8,184,66,48,8,14,195,,,,,,,,
2018-10-19,146,71,9,5,4,7,211,55,58,10,15,201,,,,,,,,
2018-10-20,149,61,10,5,4,5,200,46,49,11,24,237,,,,,,,,
2018-10-21,143,80,17,5,4,6,182,43,48,10,24,213,,,,,,,,
2018-10-22,161,72,6,4,8,11,242,46,53,9,20,189,,,,,,,,
2018-10-23,150,71,6,4,7,11,267,57,55,7,25,202,,,,,,,,
2018-10-24,158,70,4,4,3,12,268,36,57,7,28,238,,,,,,,,
2018-10-25,159,78,6,5,6,9,266,29,30,6,31,229,,,,,,,,
2018-10-26,165,78,4,5,5,6,285,55,24,4,28,243,,,,,,,,
2018-10-27,150,85,6,5,4,8,281,50,19,4,15,268,,,,,,,,
2018-10-28,164,82,5,5,4,7,351,40,23,4,33,287,,,,,,,,
2018-10-29,142,85,14,5,4,8,422,25,24,3,26,328,,,,,,,,
2018-10-30,150,77,18,6,5,7,295,46,21,3,26,337,,,,,,,,
2018-10-31,135,84,8,5,4,10,284,40,24,3,25,277,,,,,,,,
2018-11-01,154,68,9,5,8,6,238,38,24,3,22,279,,,,,,,,
2018-11-02,119,41,8,5,7,5,194,19,20,29,11,263,,,,,,,,
2018-11-03,58,131,6,5,7,4,162,5,33,2,9,241,,,,,,,,
2018-11-04,143,52,12,5,4,4,388,24,36,4,12,230,,,,,,,,
2018-11-05,133,68,14,5,3,4,208,37,27,2,9,393,,,,,,,,
2018-11-06,141,84,14,7,5,9,303,49,23,4,15,247,,,,,,,,
2018-11-07,158,199,5,10,10,,288,527,18,29,8,,,,,,,500,,
2018-11-08,161,129,5,5,5,,492,259,44,31,4,,,,,,,500,,
2018-11-09,129,107,4,5,5,,352,442,35,42,3,,,,,,,500,,
2018-11-10,129,84,5,5,5,,360,312,43,46,3,,,,,,,500,,
2018-11-11,129,91,10,5,6,10,366,41,66,3,25,290,,,,,,,,
2018-11-12,129,86,4,5,,,329,308,28,64,2,9,,,,,,269,,
2018-11-13,130,66,4,4,,,,310,139,24,40,,,,,,,1,3,
2018-11-14,133,39,8,4,,,,198,112,19,40,,,,,,,1,3,
2018-11-15,112,,,3,4,,,,171,147,24,,,,,,,4,1,3
2018-11-16,85,79,6,5,,,,217,165,23,45,,,,,,,1,3,
2018-11-17,123,101,6,4,,,,203,172,22,44,,,,,,,1,3,
2018-11-18,141,87,9,4,,,,211,171,19,49,,,,,,,1,3,
2018-11-19,132,76,13,4,,,,225,245,21,53,,,,,,,1,3,
2018-11-20,116,69,11,5,,,,261,261,20,51,,,,,,,1,3,
2018-11-21,107,91,9,5,,,,291,187,15,65,,,,,,,1,3,
2018-11-22,125,78,11,5,,,,192,192,18,54,,,,,,,1,3,
2018-11-23,114,63,11,5,,,,232,157,13,39,,,,,,,1,3,
2018-11-24,84,102,3,7,,,,176,161,13,49,,,,,,,1,3,
2018-11-25,147,104,9,4,,,,185,264,17,54,,,,,,,1,3,
2018-11-26,125,110,5,4,,,,269,236,14,41,,,,,,,1,3,
2018-11-27,120,101,7,5,,,,251,244,13,43,,,,,,,1,3,
2018-11-28,126,74,11,4,1,3,227,13,49,2,17,247,,,,,,,,
2018-11-29,109,75,10,5,,,,237,198,12,52,,,,,,,3,5,
2018-11-30,105,73,8,5,3,5,225,13,46,3,20,246,,,,,,,,
2019-09-01,61,,17,3,10,8,72,43,20,10,15,174,,,,,,,,
2019-09-02,61,,21,3,9,14,106,29,25,8,16,174,,,,,,,,
2019-09-03,140,,17,3,11,11,107,24,25,3,15,174,,,,,,,,
2019-09-04,115,,13,3,9,7,64,25,15,2,14,174,,,,,,,,
2019-09-05,73,,12,3,10,9,65,23,15,3,14,174,,,,,,,,
2019-09-06,69,,15,3,9,7,60,24,14,5,15,174,,,,,,,,
2019-09-07,68,,22,3,10,7,72,35,17,3,16,174,,,,,,,,
2019-09-08,60,,67,3,10,9,99,29,20,3,16,174,,,,,,,,
2019-09-09,110,,68,3,19,9,104,46,23,3,17,174,,,,,,,,
2019-09-10,151,,50,3,12,7,130,38,26,3,19,474,,,,,,,,
2019-09-11,151,,15,3,9,7,94,20,18,2,14,474,,,,,,,,
2019-09-12,136,,9,3,3,7,60,17,14,2,13,474,,,,,,,,
2019-09-13,72,,20,5,2,9,52,30,12,3,13,474,,,,,,,,
2019-09-14,69,,9,3,3,7,56,31,12,3,14,474,,,,,,,,
2019-09-15,72,,52,3,4,18,90,43,22,3,16,474,,,,,,,,
2019-09-16,142,,48,3,4,12,90,59,25,2,15,474,,,,,,,,
2019-09-17,139,,28,3,2,8,63,27,15,2,12,474,,,,,,,,
2019-09-18,79,,29,3,1,7,47,19,13,3,13,474,,,,,,,,
2019-09-19,58,,20,3,1,8,62,22,16,3,14,474,,,,,,,,
2019-09-20,80,,23,3,3,6,76,30,14,3,12,474,,,,,,,,
2019-09-21,90,,18,3,4,8,51,14,17,3,13,474,,,,,,,,
2019-09-22,72,,23,3,3,7,56,28,16,2,13,474,,,,,,,,
2019-09-23,59,,23,3,4,8,68,27,18,3,13,474,,,,,,,,
2019-09-24,93,,26,3,4,9,55,28,18,3,13,474,,,,,,,,
2019-09-25,75,,24,3,5,7,47,14,13,2,7,474,,,,,,,,
2019-09-26,52,,12,3,7,8,37,9,3,1,5,474,,,,,,,,
2019-09-27,33,,15,3,7,8,51,15,6,1,7,474,,,,,,,,
2019-09-28,49,,23,3,7,6,36,18,16,1,6,474,,,,,,,,
2019-09-29,22,,23,3,3,11,46,24,16,1,18,474,,,,,,,,
2019-09-30,71,,23,3,1,8,57,26,16,3,6,474,,,,,,,,
2019-10-01,72,,31,7,2,9,94,42,16,2,17,474,,,,,,,,
2019-10-02,70,,45,7,4,12,95,52,16,2,10,474,,,,,,,,
2019-10-03,138,,48,7,3,10,561,11,16,5,10,474,,,,,,,,
2019-10-04,132,,50,7,5,16,91,36,21,2,15,174,,,,,,,,
2019-10-05,108,,27,7,5,14,99,43,26,1,8,174,,,,,,,,
2019-10-06,142,,31,7,1,15,99,43,26,1,8,174,,,,,,,,
2019-10-07,137,,47,7,2,8,93,33,22,1,8,174,,,,,,,,
2019-10-08,113,,43,7,3,11,87,39,19,1,10,174,,,,,,,,
2019-10-09,150,,65,7,6,15,113,47,26,1,15,174,,,,,,,,
2019-10-10,155,,71,7,6,17,118,62,31,5,10,174,,,,,,,,
2019-10-11,171,,71,7,6,17,121,57,35,2,3,174,,,,,,,,
2019-10-12,172,,73,7,5,23,121,50,30,2,3,174,,,,,,,,
2019-10-13,179,,51,7,7,24,145,38,30,2,3,188,,,,,,,,
2019-10-14,186,,76,7,5,25,167,43,28,3,3,188,,,,,,,,
2019-10-15,206,,63,7,3,19,169,49,32,3,17,188,,,,,,,,
2019-10-16,200,,53,7,2,16,173,52,33,4,6,188,,,,,,,,
2019-10-17,173,,41,7,4,15,142,26,28,4,14,190,,,,,,,,
2019-10-18,158,,83,7,6,19,123,30,23,3,30,182,,,,,,,,
2019-10-19,148,,52,7,6,18,121,46,26,36,7,194,,,,,,,,
2019-10-20,157,,59,7,5,18,127,33,13,3,9,196,,,,,,,,
2019-10-21,174,,51,7,5,13,133,37,13,4,2,197,,,,,,,,
2019-10-22,150,,76,7,4,17,144,34,14,5,18,183,,,,,,,,
2019-10-23,176,,30,7,5,27,173,9,26,4,15,182,,,,,,,,
2019-10-24,201,,58,7,4,14,210,10,43,5,27,191,,,,,,,,
2019-10-25,180,,55,7,5,16,174,10,22,5,24,202,,,,,,,,
2019-10-26,194,,72,7,10,16,207,11,16,5,21,203,,,,,,,,
2019-10-27,245,,74,7,16,14,251,13,15,5,11,287,,,,,,,,
2019-10-28,284,,34,7,8,26,385,14,25,6,10,359,,,,,,,,
2019-10-29,305,,50,7,8,26,318,10,21,6,19,276,,,,,,,,
2019-10-30,328,,48,7,8,27,321,13,18,5,22,276,,,,,,,,
2019-10-31,309,,61,7,9,30,327,14,20,5,23,260,,,,,,,,
2019-11-01,441,,29,7,6,21,430,15,27,4,10,370,,,,,,,,
2019-11-02,330,,38,7,4,25,281,11,17,5,10,288,,,,,,,,
2019-11-03,464,,54,7,6,15,561,11,16,5,10,474,,,,,,,,
2019-11-04,294,,56,7,7,12,206,17,15,5,9,290,,,,,,,,
2019-11-05,218,,39,7,9,14,149,18,15,6,10,250,,,,,,,,
2019-11-06,184,,25,7,7,18,113,14,14,5,11,155,,,,,,,,
2019-11-07,230,,64,7,6,22,171,8,5,5,9,222,,,,,,,,
2019-11-08,228,,47,7,8,16,145,17,3,5,12,199,,,,,,,,
2019-11-09,182,,61,7,6,15,131,17,9,5,8,188,,,,,,,,
2019-11-10,234,,59,7,10,20,155,22,13,6,14,216,,,,,,,,
2019-11-11,277,,64,7,10,24,244,24,16,6,23,264,,,,,,,,
2019-11-12,363,,32,7,13,29,369,28,18,6,17,364,,,,,,,,
2019-11-13,384,,42,7,12,33,403,23,27,5,14,392,,,,,,,,
2019-11-14,364,,34,7,6,29,423,12,45,6,25,390,,,,,,,,
2019-11-15,438,,49,7,7,13,379,21,29,6,21,384,,,,,,,,
2019-11-16,224,,33,7,9,10,170,22,13,6,7,220,,,,,,,,
2019-11-17,154,,34,7,7,11,104,20,8,5,5,155,,,,,,,,
2019-11-18,154,,47,7,7,15,111,22,4,5,10,170,,,,,,,,
2019-11-19,183,,34,7,7,27,130,21,4,6,15,177,,,,,,,,
2019-11-20,216,,92,7,28,32,185,27,8,7,20,206,,,,,,,,
2019-11-21,303,,71,7,15,24,219,38,30,7,27,230,,,,,,,,
2019-11-22,214,,32,7,11,17,205,31,17,6,20,222,,,,,,,,
2019-11-23,186,,48,7,9,11,151,16,12,5,8,187,,,,,,,,
2019-11-24,170,,54,7,25,16,111,20,11,6,5,167,,,,,,,,
