date, pm25, pm10, o3, no2, so2, co
2017/11/5, 222, , 20, 7, 6, 18
2017/11/6, 200, , 23, 13, 7, 27
2017/11/7, 345, , 22, 15, 8, 17
2017/11/8, 413, , 24, 16, 9, 23
2017/11/9, 377, , 22, 15, 10, 38
2017/11/10, 318, , 28, 13, 8, 38
2017/11/11, 287, , 29, 19, 9, 32
2017/11/12, 380, , 19, 15, 6, 35
2017/11/13, 299, , 17, 19, 2, 52
2017/11/14, 255, , 82, 13, 6, 32
2017/11/15, 208, , 18, 11, 11, 10
2017/11/16, 216, , 14, 11, 9, 13
2017/11/17, 197, , 12, 13, 6, 14
2017/11/18, 200, , 17, 12, 4, 8
2017/11/19, 188, , 23, 14, 6, 7
2017/11/20, 187, , 20, 14, 5, 20
2017/11/21, 187, , 17, 21, 2, 17
2017/11/22, 173, , 20, 18, 5, 14
2017/11/23, 189, , 22, 17, 5, 10
2017/11/24, 186, , 15, 22, 4, 13
2017/11/25, 208, , 22, 23, 5, 17
2017/11/26, 219, , 21, 22, 5, 13
2017/11/27, 199, , 19, 17, 7, 23
2017/11/28, 221, , 17, 17, 8, 30
2017/11/29, 292, , 5, 22, 7, 23
2017/11/30, 229, , 18, 18, 8, 17
2016/11/1, 369, , 68, 18, 5, 33
2016/11/2, 371, , 21, 15, 9, 20
2016/11/3, 358, , 17, 13, 7, 15
2016/11/4, 373, , 16, 15, 6, 26
2016/11/5, 420, , 15, 17, 5, 23
2016/11/6, 409, , 1, 18, 6, 
2016/11/7, 420, , 18, 14, 4, 
2016/11/8, 330, , 21, 16, 5, 
2016/11/9, 362, , 20, 24, 10, 13
2016/11/10, 380, , 21, 22, 8, 19
2016/11/11, 355, , 22, 19, 8, 21
2016/11/12, 349, , 19, 18, 8, 16
2016/11/13, 277, , 20, 17, 7, 19
2016/11/14, 262, , 16, 18, 8, 21
2016/11/15, 292, , 21, 19, 6, 18
2016/11/16, 312, , 22, 16, 5, 12
2016/11/17, 273, , 22, 15, 5, 12
2016/11/18, 259, , 25, 19, 4, 19
2016/11/19, 314, , 24, 19, 4, 24
2016/11/20, 314, , 25, 17, 8, 26
2016/11/21, 346, , 18, 13, 6, 15
2016/11/22, 204, , 78, 14, 4, 10
2016/11/23, 196, , 17, 21, 6, 14
2016/11/24, 246, , 11, 12, 4, 10
2016/11/25, 181, , 17, 12, 5, 7
2016/11/26, 165, , 16, 14, 2, 10
2016/11/27, 171, , 84, 14, 5, 10
2016/11/28, 168, , 25, 31, 12, 22
2016/11/29, 274, , 9, 17, 4, 22
2016/11/30, 303, , 5, 17, 7, 28
2018/11/30, , , 21, 22, 4, 15
