date, pm25, pm10, o3, no2, so2, co
2019/12/19, 197, 293, 18, 29, 8, 18
2019/12/20, 254, 306, 12, 26, 10, 16
2019/12/21, 264, 131, 14, 15, 7, 12
2019/12/22, 177, 169, 14, 17, 6, 11
2019/12/23, 199, 189, 25, 18, 6, 10
2019/12/24, 198, 169, 11, 15, 5, 8
2019/12/25, 217, 172, 16, 14, 5, 8
2019/12/26, 216, 212, 11, 16, 6, 10
2019/12/27, 197, 172, 15, 16, 5, 9
2019/12/28, 182, 286, 20, 21, 9, 14
2019/12/29, 220, , , , , 
2020/3/1, , 92, 43, 14, 8, 8
2020/3/5, , 16, 23, 2, 7, 
2020/2/23, , 65, 32, 10, 6, 2
2019/12/31, , 336, , 27, 11, 18
2020/1/15, , 89, 6, 9, 3, 
2019/10/1, , 52, 14, , 2, 10
2019/10/16, , 117, 34, 7, 2, 15
