date, pm25, pm10, o3, no2, so2, co
2019/8/29, 96, , 8, 2, 4, 6
2019/8/30, 100, , 6, 2, 4, 6
2019/8/31, 133, , 6, 2, 3, 6
2019/9/1, 86, , 8, 1, 4, 6
2019/9/2, 98, , 6, 1, 3, 6
2019/9/3, 125, , 10, 2, 12, 6
2019/9/4, 141, , 9, 1, 9, 6
2019/9/5, 273, , 14, 2, 9, 6
2019/9/6, 440, , 8, 1, 5, 6
2019/9/7, 89, , 6, 1, 3, 6
2019/9/8, 68, , 7, 1, 3, 6
2019/9/9, 102, , 7, 1, 5, 6
2019/9/10, 98, , 11, 2, 4, 6
2019/9/11, 136, , 7, 3, 14, 5
2019/9/12, 127, , 10, 3, 6, 7
2019/9/13, 114, , 7, 3, 4, 5
2019/9/14, 92, , 6, 2, 6, 6
2019/9/15, 73, , 7, 3, 3, 6
2019/9/16, 90, , 8, 3, 4, 6
2019/9/17, 100, , 10, 3, 3, 6
2019/9/18, 92, , 7, 2, 4, 6
2019/9/19, 66, , 13, 3, 4, 6
2019/9/20, 85, , 9, 2, 6, 6
2019/9/21, 92, , 7, 3, 5, 6
2019/9/22, 70, , 6, 2, 4, 6
2019/9/23, 84, , 9, 2, 5, 6
2019/9/24, 80, , 7, 2, 3, 6
2019/9/25, 84, , 7, 3, 4, 6
2019/9/26, 77, , 6, 2, 3, 6
2019/9/27, 56, , 5, 2, 4, 6
2019/9/28, 69, , 5, 2, 4, 6
2019/9/29, 63, , 8, 3, 4, 5
2019/9/30, 80, , 12, 2, 4, 6
2019/4/1, 120, , 20, 9, 10, 9
2019/4/2, 138, , 20, 13, 9, 11
2019/4/3, 136, , 28, 11, 15, 10
2019/4/4, 154, , 23, 14, 9, 12
2019/4/5, 154, , 20, 12, 9, 9
2019/4/6, 167, , 27, 8, 11, 12
2019/4/7, 246, , 22, 7, 11, 19
2019/4/8, 326, , 25, 10, 14, 16
2019/4/9, 168, , 19, 11, 7, 11
2019/4/10, 152, , 17, 9, 12, 16
2019/4/11, 139, , 17, 7, 15, 9
2019/4/12, 133, , 16, 6, 7, 16
2019/4/13, 134, , 15, 6, 8, 10
2019/4/14, 116, , 14, 9, 10, 11
2019/4/15, 127, , 22, 7, 9, 10
2019/4/16, 134, , 22, 6, 7, 12
2019/4/17, 72, , 12, 8, 12, 16
2019/4/18, 81, , 15, 8, 8, 13
2019/4/19, 110, , 17, 10, 9, 15
2019/4/20, 127, , 17, 11, 6, 9
2019/4/21, 141, , 18, 11, 6, 12
2019/4/22, 145, , 16, 12, 8, 10
2019/4/23, 145, , 9, 16, 9, 12
2019/4/24, 189, , 15, 7, 9, 14
2019/4/25, 176, , 12, 11, 10, 18
2019/4/26, 158, , 13, 8, 7, 10
2019/4/27, 168, , 12, 10, 10, 14
2019/4/28, 172, , 13, 12, 10, 9
2019/4/29, 175, , 18, 15, 10, 8
2019/4/30, 184, , 16, 10, 8, 9
2019/5/1, 168, , 18, 7, 10, 11
2019/5/2, 167, , 16, 7, 6, 10
2019/5/3, 122, , 15, 10, 21, 13
2019/5/4, 152, , 18, 11, 15, 18
2019/5/5, 167, , 18, 17, 6, 10
2019/5/6, 182, , 11, 14, 10, 12
2019/5/7, 203, , 14, 17, 9, 15
2019/5/8, 243, , 20, 14, 10, 13
2019/5/9, 235, , 12, 7, 8, 10
2019/5/10, 205, , 17, 8, 13, 10
2019/5/11, 174, , 21, 11, 15, 13
2019/5/12, 383, , 22, 12, 18, 10
2019/5/13, 218, , 5, 11, 8, 12
2019/5/14, 127, , 21, 14, 9, 11
2019/5/15, 162, , , 12, 8, 9
2019/5/16, 168, , , 10, 11, 11
2019/5/17, 191, , , 5, 11, 8
2019/5/18, 113, , , 10, 4, 8
2019/5/19, 118, , , 12, 6, 8
