date, pm25, pm10, o3, no2, so2, co
2019/11/19, 182, 175, 18, 19, 8, 12
2019/11/20, 184, 154, 19, 19, 7, 11
2019/11/21, 183, 165, 17, 14, 8, 8
2019/11/22, 182, 108, 13, 8, 6, 5
2019/11/23, 159, 97, 15, 8, 6, 5
2019/11/24, 147, 150, 14, 13, 8, 5
2019/11/25, 161, 128, 10, 10, 8, 5
2019/11/26, 145, 71, 8, 11, 4, 4
2019/11/27, 111, 38, 8, 8, 2, 3
2019/11/28, 84, 80, 12, 11, 3, 6
2019/11/29, 137, 91, 13, 9, 4, 5
2019/11/30, 161, 99, 17, 10, 5, 5
2019/12/1, 163, 128, 16, 12, 5, 6
2019/12/2, 173, 110, 22, 12, 8, 6
2019/12/3, 169, 208, 25, 20, 6, 13
2019/12/4, 208, 223, 9, 20, 3, 14
2019/12/5, 252, 159, 18, 19, 4, 11
2019/12/6, 179, 131, 19, 16, 7, 9
2019/12/7, 172, 141, 22, 17, 4, 9
2019/12/8, 184, 155, 19, 18, 5, 9
2019/12/9, 184, 168, 10, 17, 7, 12
2019/12/10, 228, 281, 23, 21, 8, 15
2019/12/11, 277, 163, 11, 14, 6, 10
2019/12/12, 245, 60, 14, 7, 2, 2
2019/12/13, 135, 59, 6, 10, 2, 4
2019/12/14, 98, 78, 10, 9, 2, 4
2019/12/15, 135, 80, 16, 7, 2, 4
2019/12/16, 147, 110, 8, 8, 3, 7
2019/12/17, 169, 105, 10, 9, 3, 5
2019/12/18, 167, 175, 13, 12, 3, 8
2019/12/19, 198, 175, 10, 13, 5, 8
2019/12/20, 216, 133, 7, 11, 2, 8
2019/12/21, 198, 107, 7, 9, 2, 7
2019/12/22, 181, 102, 10, 9, 7, 6
2019/12/23, 163, 111, 7, 10, 4, 5
2019/12/24, 178, 132, 5, 9, 2, 5
2019/12/25, 186, 133, 6, 9, 6, 5
2019/12/26, 193, 155, 4, 11, 2, 6
2019/12/27, 222, 125, 7, 10, 5, 5
2019/12/28, 192, 109, 7, 9, , 6
2019/12/29, 184, , , , , 
2019/7/1, 175, 101, 32, 6, 17, 4
2019/7/2, 169, 82, 26, 6, 19, 4
2019/7/3, 145, 80, 15, 7, 15, 6
2019/7/4, 93, 55, 24, 8, 7, 4
2019/7/5, 99, 59, 28, 7, 9, 4
2019/7/6, 116, 50, 25, 5, 11, 3
2019/7/7, 107, 65, 29, 6, 10, 4
2019/7/8, 121, 77, 18, 5, 8, 4
2019/7/9, 134, 234, 14, 4, 7, 6
2019/7/10, 94, 299, 13, 12, 14, 7
2019/7/11, 174, 128, 12, 19, 30, 3
2019/7/12, 144, 133, 15, 5, 27, 3
2019/7/13, 166, 85, 15, 4, 11, 2
2019/7/14, 120, 50, 11, 9, 9, 3
2019/7/15, 95, 45, 12, 7, 7, 3
2019/7/16, 94, 57, 17, 9, 8, 4
2019/7/17, 96, 80, 17, 12, 10, 4
2019/7/18, 135, 83, 17, 9, 13, 4
2019/7/19, 110, 65, 11, 12, 14, 4
2019/7/20, 106, 75, 16, 7, 9, 4
2019/7/21, 132, 67, 13, 9, 9, 5
2019/7/22, 119, 82, 22, 7, 10, 5
2019/7/23, 138, 82, 21, 8, 10, 4
2019/7/24, 106, 59, 13, 6, 12, 3
2019/7/25, 62, 46, 13, 5, 13, 3
2019/7/26, 60, 25, 9, 5, 7, 2
2019/7/27, 29, 31, 10, 5, 9, 3
2019/7/28, 35, 40, 9, 6, 9, 2
2019/7/29, 53, 55, 10, 7, 12, 3
2019/7/30, 80, 41, 9, 6, 14, 3
2019/7/31, 63, 53, 13, 7, 16, 4
2019/8/1, 88, 53, 6, 9, 10, 4
2019/8/2, 89, 44, 8, 8, 12, 3
2019/8/3, 78, 50, 11, 8, 14, 4
2019/8/4, 88, 65, 17, 8, 16, 4
2019/8/5, 121, 48, 10, 9, 19, 3
2019/8/6, 74, 77, 12, 10, 22, 4
2019/8/7, 91, 66, 13, 11, 18, 4
2019/8/8, 94, 65, 7, 10, 13, 3
2019/8/9, 82, 52, 8, 7, 15, 2
2019/8/10, 68, 56, 9, 8, 18, 3
2019/8/11, 83, 63, 9, 9, 21, 3
2019/8/12, 87, 71, 6, 9, 8, 4
2019/8/13, 92, 49, 7, 5, 6, 4
2019/8/14, 70, 44, 6, 4, 9, 3
2019/8/15, 74, 41, 7, 4, 12, 3
